address,Latitude,Longitude,sqft,year
"650 Broadway Ave., Braselton, Georgia",34.1072309,-83.7746827,613000.0,2016
"808 Hog Mountain Road, Building F, Jefferson, Georgia",34.1599071,-83.6282751,822300.0,2017
"7001 Skipper Road, Macon, Georgia",32.7196035,-83.7239953,1016000.0,2019
"280 Bridgeport Boulevard, ‘Moreland, Newnan, Georgia",33.3129466,-84.7819559,1002200.0,2020
"5295 East Franklin Road, Nampa, Idaho",43.6042284,-116.498996,650000.0,2020
"201 Emerald Drive, Joliet, Illinois",41.4874158,-88.0715055,700000.0,2016
"1125 W Remington Blvd, Romeowille, Ilinois",41.6727638,-88.1155104,767000.0,2016
"6605 W. Monee Manhattan Road, Monee, Illinois",41.4241572,-87.7732585,856600.0,2017
"1750 Bridge Drive, Waukegan, Illinois",42.3275841,-87.9013954,626800.0,2017
"2865 Duke Parkway, Aurora, Illinois",41.814919,-88.2127172,1000000.0,2018
"3050 Gateway Commerce Center Drive South, Edwardsville, Ilinois",38.771493,-90.0402373,717000.0,2016
"3931 Lakeview Corporate Dr, Edwardsville, Ilinois",38.7842299,-90.0773047,769500.0,2016
"23714 west, Amoco Rd, Channahon, Illinois",41.4533874,-88.1918083,1015700.0,2020
"25810 S. Ridgeland Ave., Monee, Illinois",41.4216147,-87.7691457,125000.0,2019
"7001 Vollmer Road, Frankfort, Matteson, Illinois",41.5272196,-87.7877599,855000.0,2021
"30260 Graaskamp Blvd, Wilmington, llinois",41.3403091,-88.205437,810900.0,2020
"2379 Davey Road, Woodbridge, llinois",41.6858747,-88.0383911,124700.0,2019
"7555 Linder Ave, Skokie, llinois",42.0183679,-87.7644258,140300.0,2021
"27W501 N Ave, Suite 100, West Chicago, llinois",41.908129,-88.1474755,265600.0,2021
"4650 Shepard Trail, Suite A, Rockford, linois",42.3295531,-89.0767415,14000.0,2021
"15924 Western Ave. Markham, Illinois",41.5997452,-87.6755603,855000.0,2021
"23257 S Central Ave, University Park, Illinois",41.467135,-87.7483721,1200000.0,2021
"4255 Anson Blvd , Whitestown, Indiana",39.980375,-86.3807126,1100000.0,2021
"717 Airtech Parkway, Plainfield, Hendricks County, Indiana",39.6984449,-86.3455615,947300.0,2008
"710 South Girls School Road, Indianapolis, Indiana",39.7557158,-86.2901225,902900.0,2011
"800 South Perry Road, Plainfield, Hendricks County, Indiana",39.6933302,-86.3588774,925800.0,2011
"9101 Orly Drive, Indianapolis, Indiana",39.6747924,-86.3259504,695300.0,2016
"900 Patrol Road, Jeffersonville, Clark County, Indiana",38.3786917,-85.6869777,1002000.0,2012
"19 Bob Glidden Blvd., Whiteland, Indiana",39.5493394,-86.0468879,530000.0,2020
"5510 Exploration Dr, Marion, Indianapolis, Indiana",39.6828037,-86.3145389,823000.0,2019
"3620 Plainfield Rd, Building 4, Hendricks, Indianapolis, Indiana",39.710484,-86.3348241,253800.0,2021
"Flaugh Road between U.S. 30 and W. Washington Center Road, Fort Wayne, Indiana",41.1108664,-85.2265725,629200.0,2022
"5460 Industrial Court Suite 300, Whitestown, Indiana",39.9654481,-86.3811463,624000.0,2013
"500 SW 32nd St, Bondurant, Des Moines, lowa",41.6740025,-93.4682877,645000.0,2020
"North Division Street, Davenport, lowa",41.5620566,-90.6006348,629200.0,2022
"19535 Waverly Rd, Gardner (Edgerton), Kansas",38.774349,-94.944838,822100.0,2016
"6925 Riverview Ave., Kansas City, Kansas",39.0969834,-94.7390716,856000.0,2017
"7130 North Broadway Avenue, Park City, Wichita, Kansas",37.8146858,-97.3356475,1000000.0,2021
"9700 Leavenworth Road, Building| A, Kansas City, Kansas",39.1442196,-94.8042473,1008000.0,2021
"1155 Worldwide Bivd., Bldg. F Park W intl., Hebron, Kentucky",39.0848045,-84.7135591,484000.0,2005
"1600 Worldwide Blvd., Hebron, Kentucky",39.0870356,-84.7260056,543000.0,2005
"1850 Mercer Drive, Lexington, Kentucky",38.075996,-84.5336866,650000.0,2000
"172 Trade St., Lexington, Kentucky",38.0754374,-84.5500652,380000.0,2006
"4600 Olympic Blvd, Erlanger, Kentucky",39.0449998,-84.619191,134000.0,2020
"1050 South Columbia Avenue , Campbellsville, Kentucky",37.3281258,-85.3512094,770000.0,1999
"4360 Robards Lane, Louisville, Kentucky",38.1952089,-85.6926801,12500.0,2005
"376 Amazon.com Blvd, ‘Shepherdsville, Kentucky",37.9822049,-85.6839362,823000.0,2005
"271 Omega Pkwy, ‘Shepherdsville, Kentucky",37.9751189,-85.6844175,118000.0,2012
"100 W. Thomas P. Echols Lane, St. 3, Shepherdsville, Kentucky",37.9829374,-85.687289,600000.0,2013
"649 Omega Prkwy, ‘Shepherdsville, Kentucky",37.968599,-85.6823317,611000.0,2020
"4620 Olympic Blvd, Erlanger, Kentucky",39.0449972,-84.6198263,109200.0,2015
"3521 Point Pleasant Road, Unit 2, Hebron, Kentucky",39.0570239,-84.6408821,264000.0,2017
"3620 NE Evangeline Thruway, Carencro, Lafayette, Louisiana",30.2674424,-92.0181678,1000000.0,2021
"9401 Cortana Pl, Baton Rouge, Louisiana",30.4579006,-91.0927815,855000.0,2022
"Corporate Drive, Shreveport, Louisiana",32.5385338,-93.7773979,979200.0,2022
"2010 Broening Highway, Baltimore, Maryland",39.2674132,-76.5488617,1017600.0,2015
"600 Principio Parkway West, Cecil, North East, Maryland",39.5945208,-76.003736,1148900.0,2017
"1700 Sparrows Point Bivd, ‘Sparrows Point, Dundalk, Maryland",39.2310268,-76.4692791,855000.0,2018
"6001 Bethlehem Blvd, Sparrow's Point, Edgemere, Maryland",39.2373408,-76.4903864,979200.0,2020
"7200 Dorsey Run Road, Elkridge, Maryland",39.1713824,-76.761245,126000.0,2020
"1100 Woodley Rd, Aberdeen, Maryland",39.4807059,-76.1830833,656900.0,2018
"1115 Wesel Boulevard, Hagerstown, Maryland",39.6357457,-77.7475416,1000000.0,2021
"5300 Nottingham Dr, White ‘Marsh, Maryland",39.3756406,-76.4476248,585100.0,2020
"1180 Innovation Way, Fall River, Massachusetts",41.7619504,-71.0955297,1015700.0,2016
"1600 Osgood St., North Andover, Massachusetts",42.7310873,-71.114322,855000.0,2021
"52 Sturbridge Road, Chariton, Massachusetts",42.1442462,-72.0042447,644000.0,2022
"39000 Amrhein Rd., Livonia, Michigan",42.3763435,-83.4233296,1009000.0,2017
"50500 Mound Road, Shelby Township, Michigan",42.6643125,-83.0505026,1000000.0,2018
"1200 Featherstone Road, Pontiac, Michigan",42.6455079,-83.2554515,823000.0,2021
"32801 Ecorse Road, Romulus, Michigan",42.2505224,-83.3622427,855000.0,2018
"33701 Prescott St, Romulus, Michigan",42.1731227,-83.3644103,1000000.0,2021
"4500 68th St. SE, Caledonia (Gaines Township), Michigan",42.8380123,-85.5517212,855000.0,2020
"West State Fair Ave, Detroit, Michigan",42.4394261,-83.1123432,823000.0,2022
"1400 E 10 Mile RoadHazel Park, Michigan",42.4748889,-83.092167,150000.0,2021
"2601 4th Ave E, Shakopee, Minnesota",44.8006286,-93.4886602,860000.0,2015
"Hwy 169 & Hwy 610 NE Quadrant, Brooklyn Park, Minnesota",45.1067456,-93.3924525,694500.0,2021
"9775 218th Street West, Lakeville, Minnesota",44.6344474,-93.2252458,750000.0,2021
"4000 Premier Parkway, St. Charles, Missouri",38.80902,-90.5715927,855000.0,2019
"3200 East Sawyer Road, Republic, Missouri",37.1691198,-93.4163829,1000000.0,2021
"191 Norfolk Southern way, Missisippi",34.9902978,-89.5972004,554000.0,2019
"11505 Progress Way, Olive Branch, Mississippi",34.9520949,-89.7840608,1000000.0,2020
"1615 Commerce Parkway N, Building D, Horn Lake, pi",34.9216505,-90.0194343,860900.0,2020
"219 Madison County Parkway, Canton, Madison, Mississippi",32.598339,-90.1044387,700000.0,2021
"Gateway Global Drive and Highway 302, Byhalia, Mississippi",34.9639516,-89.5977486,1000000.0,2021
"NE of intersection of Nebraska Highways 370 and 50, Papillion, Omaha, Nebraska",41.1401569,-96.0422465,700000.0,2021
"10809 S 144 St , Omaha, Nebraska",41.151431,-96.136314,1000000.0,2021
"3837 Bay Lake Trail, Suite 111, North Las Vegas, Nevada",36.2287803,-115.1055348,283900.0,2008
"4550 Nexus Way, North Las Vegas, Nevada",36.2668804,-115.0744003,813100.0,2017
"6001 E. Tropical Parkway, North Las Vegas, Nevada",36.2660563,-115.0410386,855000.0,2019
"5801 N Nicco Way, North Las Vegas, Nevada",36.2679353,-115.0490086,341300.0,2020
"8000 North Virginia Street , Reno, Nevada",39.6037491,-119.8486126,634000.0,2015
"2951 Marion Drive, Unit 107, North Las Vegas, Nevada",36.213523,-115.073408,47500.0,2018
"2921 Marion Drive, Unit 109, North Las Vegas, Nevada",36.2128557,-115.0722638,67600.0,2018
"North Las Vegas, Nevada",36.1988592,-115.1175013,855000.0,2021
"267 Lowell Rd, Hudson, New Hampshire",42.7221364,-71.4264113,1000000.0,2021
"50 New Canton Way, Robbinsville, New Jersey",40.195447,-74.5650021,1039500.0,2014
"698 Route 46 West, Teterboro, New Jersey",40.8645309,-74.0582432,617000.0,2017
"8003 Industrial Ave, Building A, Carteret, New Jersey",40.5935438,-74.2233451,1064500.0,2016
"380 Middlesex Ave, Carteret, New Jersey",40.5643422,-74.2212342,810000.0,2016
"2170 Lincoln Highway (NJ-27), Edison, New Jersey",40.5284639,-74.3809353,923000.0,2017
"240 Mantua Grove Road, West Deptford, New Jersey",39.8230215,-75.2161818,650000.0,2018
"1101 E Pearl St, Burlington, New Jersey",40.0864652,-74.8397473,1015700.0,2019
"8 Campus Drive, Burlington, New| Jersey",40.0577364,-74.8797446,253500.0,2021
